kabupaten_kota,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024
Ogan Komering Ulu Selatan,62.57,63.42,63.96,64.84,65.43,65.3,65.34,65.87,66.67,67.65
Ogan Komering Ulu Timur,67.17,67.38,67.84,68.58,69.34,69.28,69.58,70.23,70.96,71.55
Pacitan,64.92,65.74,66.51,67.33,68.16,68.39,68.57,69.37,70.19,70.74
Padang Lawas,65.99,66.23,66.82,67.59,68.16,68.25,68.64,69.58,70.34,71.27
Padang Lawas Utara,67.35,68.05,68.34,68.77,69.29,69.85,70.11,70.93,71.63,72.32
Padang Pariaman,68.04,68.44,68.9,69.71,70.59,70.61,70.76,71.63,72.61,73.1
Pakpak Bharat,65.53,65.81,66.25,66.63,67.47,67.59,67.94,68.85,69.58,70.36
Pamekasan,63.1,63.98,64.93,65.41,65.94,66.26,66.4,66.99,67.96,68.49
Pandeglang,62.72,63.4,63.82,64.34,64.91,65.0,65.17,65.84,66.42,66.99
Pangandaran,65.62,65.79,66.6,67.44,68.21,68.06,68.28,69.03,69.38,69.85
Paniai,54.2,54.34,54.91,55.83,56.58,56.31,56.7,57.14,57.91,58.69
Parigi Moutong,62.79,63.6,64.09,64.85,65.47,65.44,65.82,66.26,67.11,67.49
Pasaman,64.01,64.57,64.94,65.6,66.46,66.64,66.77,67.41,68.13,68.89
Pasaman Barat,65.26,66.03,66.83,67.43,68.21,68.49,68.76,69.57,70.19,70.93
Paser,70.3,71.0,71.16,71.61,72.29,72.04,72.93,73.44,74.14,74.7
Pasuruan,65.04,65.71,66.69,67.41,68.29,68.6,68.93,69.68,70.29,70.73
Pati,68.51,69.03,70.12,70.71,71.35,71.77,72.28,73.14,73.59,74.1
Pegunungan Arfak,53.73,53.89,54.39,55.31,56.15,56.33,56.13,57.01,57.82,58.73
Pegunungan Bintang,40.91,41.9,43.24,44.22,45.21,45.44,46.28,47.21,48.18,49.36
Pekalongan,67.4,67.71,68.4,68.97,69.71,69.63,70.11,70.81,71.4,71.84
Pelalawan,69.82,70.21,70.59,71.44,71.85,71.56,72.08,72.93,73.59,74.08
Pemalang,63.7,64.17,65.04,65.67,66.32,66.32,66.56,67.19,68.03,68.55
Penajam Paser Utara,69.26,69.96,70.59,71.13,71.64,71.41,72.01,72.55,73.3,73.9
Penukal Abab Lematang Ilir,60.83,61.66,62.58,63.49,64.33,64.7,64.88,65.75,66.64,67.48
Pesawaran,62.7,63.47,64.43,64.97,65.75,65.79,66.14,66.7,67.67,68.52
Pesisir Barat,60.55,61.5,62.2,62.96,63.79,63.91,64.3,65.14,66.0,66.73
Pesisir Selatan,68.07,68.39,68.74,69.4,70.08,69.9,70.03,70.84,71.44,72.02
Pidie,68.68,69.06,69.52,69.93,70.41,70.63,70.7,71.2,71.66,72.31
Pidie Jaya,70.49,71.13,71.73,72.12,72.87,73.2,73.6,74.34,74.8,75.16
Pinrang,69.24,69.42,69.9,70.62,71.12,71.26,71.45,71.97,72.84,73.55
Pohuwato,62.5,63.17,63.88,64.44,65.27,65.37,65.8,66.53,67.15,68.02
Polewali Mandar,60.87,61.51,62.35,63.14,63.74,63.84,64.23,64.79,65.59,66.22
Ponorogo,68.16,68.93,69.26,69.91,70.56,70.81,71.06,71.87,72.5,73.01
Poso,68.13,68.83,69.78,70.68,71.4,71.28,71.45,71.93,72.48,72.87
Pringsewu,67.55,68.26,68.61,69.42,69.97,70.3,70.45,70.98,71.61,72.29
Probolinggo,63.83,64.12,64.28,64.85,65.6,66.07,66.26,66.96,67.79,68.29
Pulang Pisau,65.76,66.49,67.0,67.54,68.34,68.45,68.53,69.01,69.6,70.27
Pulau Morotai,59.27,59.87,60.71,61.39,62.38,62.5,62.9,63.8,64.73,65.68
Pulau Taliabu,58.26,58.66,59.03,59.67,60.62,60.48,60.73,61.64,62.31,62.9
Puncak,39.41,39.96,41.06,41.81,42.7,43.04,43.17,43.87,44.59,45.6
Puncak Jaya,44.87,45.49,46.57,47.39,48.33,48.37,48.99,49.84,50.81,51.78
Purbalingga,67.03,67.48,67.72,68.41,68.99,68.97,69.15,69.54,70.24,70.69
Purwakarta,67.84,68.56,69.28,69.98,70.67,70.82,70.98,71.56,72.09,72.65
Purworejo,70.37,70.66,71.31,71.87,72.5,72.68,72.98,73.6,74.28,75.11
Raja Ampat,61.23,61.95,62.35,62.84,63.66,63.89,63.92,64.65,65.26,65.86
Rejang Lebong,67.51,68.34,68.61,69.4,70.1,70.44,70.77,71.45,72.31,72.92
Rembang,68.18,68.6,68.95,69.46,70.15,70.02,70.43,71.0,71.89,72.53
Rokan Hilir,66.81,67.52,67.84,68.73,69.4,69.15,69.34,70.1,70.78,71.2
Rokan Hulu,67.29,67.86,68.67,69.36,69.93,69.38,69.67,70.31,71.02,71.82
Rote Ndao,58.32,59.28,60.51,61.51,62.22,62.39,62.6,63.21,64.0,64.59
Sabu Raijua,53.28,54.16,55.22,55.79,56.66,57.02,57.03,57.9,58.89,59.58
Sambas,64.14,64.94,65.92,66.61,67.02,67.03,67.1,67.95,68.69,69.31
Samosir,68.43,68.82,69.43,69.99,70.55,70.63,70.83,71.67,72.08,72.88
Sampang,58.18,59.09,59.9,61.0,61.94,62.7,62.8,63.39,64.13,64.65
Sanggau,63.05,63.9,64.61,65.15,65.67,65.77,66.2,66.91,67.77,68.43
Sarmi,60.99,61.27,62.31,63.0,63.45,63.63,63.94,64.86,65.8,66.72
Sarolangun,68.1,68.73,69.03,69.41,69.72,69.86,70.25,70.89,71.29,72.01
Sekadau,62.34,62.52,63.04,63.69,64.34,64.76,64.93,65.58,66.33,67.25
Seluma,63.41,64.04,65.0,65.99,66.69,66.89,67.03,67.76,68.27,68.97
Semarang,71.89,72.4,73.2,73.61,74.14,74.1,74.24,74.67,75.13,75.67
Seram Bagian Barat,63.02,63.76,64.34,65.14,65.49,65.62,65.83,66.67,67.56,68.39
Seram Bagian Timur,60.27,61.15,62.06,62.98,63.74,64.12,64.3,65.05,65.82,66.24
Serang,64.61,65.12,65.6,65.93,66.38,66.7,66.82,67.75,68.39,69.03
Serdang Bedagai,68.01,68.77,69.16,69.69,70.21,70.24,70.56,71.21,71.75,72.47
Seruyan,64.77,65.4,66.14,67.04,67.57,67.58,67.67,68.24,68.68,69.05
Siak,72.17,72.7,73.18,73.73,74.07,73.68,73.98,74.5,74.98,75.45
Siau Tagulandang Biaro,65.0,65.66,66.03,66.75,67.48,67.64,68.05,68.94,69.57,70.31
Sidenreng Rappang,69.0,69.39,69.84,70.6,71.05,71.21,71.54,72.06,72.71,73.21
Sidoarjo,77.43,78.17,78.7,79.5,80.05,80.29,80.65,81.02,81.55,82.31
Sigi,65.35,65.95,66.72,67.66,68.16,68.12,68.49,69.05,69.93,70.51
Sijunjung,65.3,66.01,66.6,66.97,67.66,67.74,67.86,68.69,69.65,70.23
Sikka,61.81,62.42,63.08,63.89,64.75,65.11,65.41,66.06,66.89,67.41
Simalungun,71.24,71.48,71.83,72.49,72.98,73.25,73.4,73.77,74.29,74.97
Simeulue,63.16,63.82,64.41,64.74,65.7,66.03,66.41,67.27,68.06,69.01
Sinjai,64.48,65.36,65.8,66.24,67.05,67.6,67.75,68.33,68.92,69.52
Sintang,64.18,64.78,65.16,66.07,66.7,66.88,66.93,67.86,68.67,69.42
Situbondo,64.53,65.08,65.68,66.42,67.09,67.38,67.78,68.25,69.16,69.75
Sleman,81.2,82.15,82.85,83.42,83.85,83.84,84.0,84.31,84.77,85.61
Solok,67.12,67.67,67.86,68.6,69.08,69.08,69.24,70.02,70.63,71.02
Solok Selatan,67.09,67.47,67.81,68.45,68.94,69.04,69.23,69.71,70.58,71.5
Soppeng,65.33,65.95,66.67,67.6,68.26,68.67,68.99,69.7,70.58,71.39
Sorong,61.86,62.42,63.42,64.32,65.29,65.74,65.77,66.69,67.49,68.29
Sorong Selatan,58.6,59.2,60.19,61.01,61.93,62.42,62.46,63.08,63.94,64.5
Sragen,71.1,71.43,72.4,72.96,73.43,73.95,74.08,74.65,75.1,75.53
Subang,66.52,67.14,67.73,68.31,68.69,68.95,69.13,69.87,70.7,71.36
Sukabumi,64.44,65.13,65.49,66.05,66.87,66.88,67.07,67.64,68.49,68.97
Sukamara,65.8,66.4,66.98,67.52,67.95,68.03,68.27,68.94,69.44,69.85
Sukoharjo,74.53,75.06,75.56,76.07,76.84,76.98,77.13,77.94,78.65,79.3
Sumba Barat,61.36,61.85,62.3,62.91,63.56,63.53,63.83,64.43,65.22,66.06
Sumba Barat Daya,60.53,61.31,61.46,61.89,62.6,62.28,62.29,63.15,63.74,64.27
Sumba Tengah,57.91,58.52,59.39,60.07,61.01,61.53,61.8,62.71,63.48,64.31
Sumba Timur,62.54,63.22,64.19,64.65,65.34,65.52,65.74,66.17,67.05,67.68
Sumbawa,63.91,64.89,65.84,66.77,67.6,67.61,68.01,68.89,69.87,70.55
Sumbawa Barat,68.38,69.26,70.08,70.71,71.52,71.63,71.85,72.65,73.17,73.86
Sumedang,69.29,69.45,70.07,70.99,71.46,71.64,71.8,72.69,73.18,73.73
Sumenep,62.38,63.42,64.28,65.25,66.22,66.43,67.04,67.87,68.61,69.26
Supiori,60.09,60.59,61.23,61.84,62.3,62.3,62.72,63.65,64.61,65.15
Tabalong,69.35,70.07,70.76,71.14,71.78,72.19,72.6,73.13,73.85,74.41
