kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024
Kota Medan,420208.0,460685.0,491496.0,518420.0,532055.0,553796.0,577126.0,607166.0,651901.0,695295.0
Kota Metro,314891.0,331201.0,346491.0,360656.0,371636.0,406351.0,417861.0,449415.0,480830.0,503161.0
Kota Mojokerto,348670.0,364021.0,391489.0,437231.0,467997.0,482016.0,493452.0,531804.0,581006.0,610968.0
Kota Padang,414612.0,449658.0,482763.0,507042.0,534857.0,570654.0,602540.0,634581.0,698720.0,736786.0
Kota Padang Panjang,384969.0,420981.0,424298.0,438075.0,450377.0,491142.0,516648.0,543609.0,599681.0,634303.0
Kota Padangsidimpuan,315547.0,326579.0,348074.0,363468.0,382884.0,417455.0,453777.0,480196.0,523244.0,556024.0
Kota Pagar Alam,268636.0,289493.0,299982.0,324025.0,328745.0,342738.0,356287.0,370417.0,408917.0,427007.0
Kota Palangka Raya,307796.0,324082.0,345417.0,353853.0,379420.0,435008.0,456276.0,485800.0,530223.0,555618.0
Kota Palembang,431242.0,456225.0,480735.0,510994.0,521489.0,548563.0,567518.0,597136.0,643356.0,660932.0
Kota Palopo,246727.0,261056.0,274319.0,292602.0,324233.0,362859.0,383007.0,403144.0,442276.0,466521.0
Kota Palu,416596.0,451437.0,473555.0,492085.0,522444.0,559246.0,571605.0,604280.0,632261.0,658112.0
Kota Pangkal Pinang,527668.0,604011.0,654044.0,700949.0,748487.0,795653.0,808839.0,858840.0,894224.0,925522.0
Kota Parepare,270508.0,281951.0,292685.0,308337.0,323839.0,363710.0,383471.0,402126.0,445032.0,467151.0
Kota Pariaman,359965.0,392970.0,412231.0,431368.0,446514.0,480028.0,495386.0,522932.0,576455.0,609286.0
Kota Pasuruan,343392.0,362224.0,378593.0,415171.0,434435.0,441531.0,461624.0,486893.0,529512.0,554195.0
Kota Payakumbuh,390151.0,424233.0,441736.0,462243.0,482184.0,526490.0,543335.0,573234.0,616357.0,648230.0
Kota Pekalongan,352717.0,375600.0,390555.0,415172.0,425026.0,460789.0,480415.0,513243.0,565998.0,605312.0
