kabupaten_kota,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Kepulauan Aru,6941.0,7080.0,7334.0,7518.0,7678.0,7586.0,7623.0,7733.0,8133.0,8488.0
Kepulauan Mentawai,5684.0,5771.0,6010.0,6211.0,6429.0,6281.0,6321.0,6567.0,6891.0,7192.0
Kepulauan Meranti,7030.0,7194.0,7673.0,7978.0,8358.0,7790.0,7780.0,8246.0,8613.0,8988.0
Kepulauan Sangihe,10536.0,10959.0,11111.0,11397.0,11663.0,11427.0,11524.0,11631.0,11946.0,12409.0
Kepulauan Selayar,7793.0,8123.0,8436.0,8666.0,9028.0,8970.0,9060.0,9446.0,9830.0,10235.0
Kepulauan Sula,6545.0,6741.0,6859.0,7044.0,7221.0,6950.0,7040.0,7417.0,7718.0,8020.0
Kepulauan Talaud,8008.0,8184.0,8268.0,8525.0,8638.0,8505.0,8558.0,8869.0,9146.0,9512.0
Kepulauan Yapen,7320.0,7414.0,7605.0,7739.0,7785.0,7484.0,7491.0,7685.0,8091.0,8409.0
Kerinci,9076.0,9374.0,9501.0,9951.0,10198.0,9995.0,10184.0,10570.0,10965.0,11441.0
Ketapang,8350.0,8430.0,8475.0,8988.0,9259.0,9163.0,9209.0,9426.0,9984.0,10472.0
Klaten,11178.0,11227.0,11369.0,11738.0,12074.0,11921.0,12017.0,12522.0,12968.0,13513.0
Klungkung,10711.0,10852.0,11005.0,11318.0,11484.0,11376.0,11287.0,11500.0,11760.0,12358.0
Kolaka,11942.0,12072.0,12243.0,12384.0,12525.0,12515.0,12525.0,12639.0,13055.0,13534.0
Kolaka Timur,7157.0,7283.0,7499.0,7606.0,7832.0,7727.0,7753.0,8155.0,8520.0,9012.0
Kolaka Utara,9535.0,9846.0,9941.0,10133.0,10258.0,10218.0,10244.0,10721.0,11020.0,11650.0
Konawe,9471.0,9696.0,9857.0,10004.0,10200.0,10126.0,10151.0,10552.0,10963.0,11415.0
Konawe Kepulauan,6093.0,6227.0,6458.0,6601.0,6832.0,6700.0,6738.0,7192.0,7564.0,7996.0
Konawe Selatan,8386.0,8660.0,8798.0,8914.0,9115.0,9037.0,9059.0,9347.0,9753.0,10250.0
Konawe Utara,8619.0,8822.0,8943.0,9050.0,9215.0,9165.0,9181.0,9666.0,10113.0,10658.0
Kota Ambon,13318.0,13497.0,13699.0,13993.0,14233.0,14116.0,14148.0,14405.0,14692.0,15196.0
Kota Balikpapan,13705.0,13883.0,14254.0,14557.0,14791.0,14549.0,14862.0,15455.0,16195.0,16854.0
Kota Banda Aceh,15362.0,15737.0,15917.0,16234.0,16892.0,16778.0,16891.0,17228.0,17521.0,18100.0
Kota Bandar Lampung,11090.0,11266.0,11699.0,11952.0,12255.0,12197.0,12247.0,12593.0,13092.0,13667.0
Kota Bandung,15609.0,15805.0,16033.0,16630.0,17254.0,16887.0,16996.0,17639.0,18236.0,18795.0
Kota Banjar,9476.0,9815.0,9987.0,10329.0,10705.0,10535.0,10476.0,10967.0,11356.0,11811.0
Kota Banjar Baru,12467.0,12879.0,13279.0,13590.0,13949.0,13675.0,13789.0,14136.0,14524.0,14927.0
Kota Banjarmasin,12834.0,13417.0,13899.0,14256.0,14547.0,14306.0,14432.0,14770.0,15280.0,15714.0
Kota Batam,16826.0,16889.0,17131.0,17560.0,18146.0,18095.0,18034.0,18506.0,18990.0,19668.0
Kota Batu,11274.0,11772.0,12057.0,12466.0,12870.0,12824.0,12887.0,13094.0,13603.0,14253.0
Kota Baubau,9852.0,10110.0,10223.0,10374.0,10523.0,10483.0,10503.0,10835.0,11207.0,11755.0
Kota Bekasi,15116.0,15236.0,15378.0,15755.0,16157.0,15776.0,15903.0,16239.0,16479.0,16775.0
Kota Bengkulu,12277.0,12698.0,13164.0,13633.0,14030.0,13938.0,14108.0,14503.0,14924.0,15542.0
Kota Bima,9594.0,9930.0,10458.0,10825.0,11334.0,11105.0,11135.0,11395.0,11740.0,12362.0
Kota Binjai,10098.0,10342.0,10487.0,10750.0,11260.0,10997.0,11063.0,11358.0,11567.0,12015.0
Kota Bitung,11513.0,11718.0,11895.0,12168.0,12383.0,12193.0,12271.0,12665.0,12954.0,13539.0
Kota Blitar,12258.0,12499.0,12910.0,13391.0,13851.0,13733.0,13816.0,14058.0,14548.0,14933.0
Kota Bogor,10576.0,10662.0,10940.0,11348.0,11825.0,11564.0,11716.0,12058.0,12656.0,13154.0
Kota Bontang,15980.0,16157.0,16271.0,16698.0,16843.0,16278.0,16765.0,17327.0,17659.0,18394.0
Kota Bukittinggi,12330.0,12475.0,12816.0,13035.0,13586.0,13282.0,13331.0,13633.0,13859.0,14297.0
Kota Cilegon,12127.0,12326.0,12562.0,12900.0,13230.0,13010.0,13041.0,13185.0,13663.0,14294.0
Kota Cimahi,11012.0,11141.0,11353.0,11921.0,12448.0,12025.0,12019.0,12500.0,12883.0,13278.0
Kota Cirebon,10732.0,10824.0,11100.0,11397.0,11930.0,11800.0,11810.0,12087.0,12506.0,12869.0
Kota Denpasar,18849.0,19084.0,19364.0,19698.0,19992.0,19723.0,19598.0,19850.0,20128.0,20763.0
Kota Depok,14424.0,14560.0,14727.0,15262.0,15696.0,15281.0,15420.0,15926.0,16279.0,16640.0
Kota Dumai,11058.0,11531.0,11699.0,12063.0,12453.0,11751.0,11818.0,12249.0,12457.0,12847.0
Kota Gorontalo,11269.0,11360.0,11651.0,11908.0,12298.0,12278.0,12390.0,13077.0,13351.0,13860.0
Kota Gunungsitoli,6742.0,6963.0,7300.0,7639.0,8058.0,7980.0,8134.0,8434.0,8635.0,9056.0
Kota Jakarta Barat,19006.0,19501.0,19695.0,20298.0,20875.0,20468.0,20801.0,21357.0,21709.0,22119.0
Kota Jakarta Pusat,16143.0,16493.0,16719.0,16994.0,17285.0,17179.0,17365.0,17765.0,18202.0,18661.0
Kota Jakarta Selatan,22425.0,22932.0,23098.0,23363.0,23851.0,23575.0,23888.0,24221.0,24975.0,25573.0
Kota Jakarta Timur,16455.0,16733.0,17007.0,17339.0,17662.0,17438.0,17733.0,18199.0,18712.0,19193.0
Kota Jakarta Utara,17205.0,17418.0,17763.0,18121.0,18566.0,18437.0,18762.0,19201.0,19617.0,20032.0
Kota Jambi,10891.0,11436.0,11648.0,11912.0,12205.0,12056.0,12240.0,12597.0,12783.0,13388.0
Kota Jayapura,14249.0,14319.0,14781.0,14922.0,15176.0,14763.0,14937.0,15189.0,15272.0,15408.0
Kota Kediri,10733.0,11070.0,11550.0,11976.0,12440.0,12239.0,12359.0,12762.0,13276.0,13670.0
Kota Kendari,13558.0,13828.0,13995.0,14168.0,14392.0,14335.0,14356.0,14765.0,15116.0,15651.0
Kota Kotamobagu,9743.0,10084.0,10366.0,10663.0,11098.0,10744.0,10848.0,11151.0,11452.0,12074.0
Kota Kupang,12856.0,12986.0,13028.0,13199.0,13592.0,13337.0,13218.0,13513.0,13762.0,14001.0
Kota Langsa,10605.0,11015.0,11261.0,11497.0,12099.0,12057.0,12067.0,12353.0,12678.0,13133.0
Kota Lhokseumawe,10093.0,10549.0,10673.0,10863.0,11421.0,11367.0,11390.0,11701.0,12125.0,12694.0
